"","Value","Count","MapCode","Name","Biome","Bioregion","Nat.1750km2","Nat.1990km2","Nat.2014km2","Nat.2018km2","Nat.2020km2","Nat.2022km2","Nat.2040ard_90.22","Natlost.2022km2","Natlost.90_22km2","SeconNat.2022km2","ArtWtrBodies.2022km2","Builtup.2022km2","Croplands.2022km2","Mines.2022km2","Plantation.2022km2","ARD14.22","ARD18.22","ARD20.22","ARD90.14","ARD90.18","ARD90.20","ARD90.22","EOOkm2","AOO occ","AOO1prc","PrcNat.2022","PrcNat.2040ard_1990.2022","PrcNatlost.2022","PrcNatlost.2040ard_90.22","PrcDeclyr90.22","PrcSeconNat.2022","PrcArtWtrBodies.2022","PrcBuiltup.2022","PrcCroplands.2022","PrcMines.2022","PrcPlantation.2022","Status90.22","EOOstatus.size","AOOstatus.size","A2b","A3","B1i","B2i","RLEcore","ThrExcl.core","Basis.RLEcore"
"259",259,107711,"Gm21","Lydenburg Thornveld","Grassland","Mesic Highveld Grassland Bioregion",1551.0684,1249.062,1223.2424,1203.0608,1195.1448,1192.7208,1161.03,358.3476,0.0451068081488348,120.358,15.9144,32.188,174.4792,2.1672,13.2408,3.8152,2.58499999999998,1.21199999999999,1.07581666666666,1.6429,1.79724,1.7606625,3456.90964275146,43,39,77,93,23,7,0.1,8,1,2,11,0,1,"Stable","EN","VU","LC","LC","LC","LC","LC","",""
"260",260,65242,"Gm22","Northern Escarpment Dolomite Grassland","Grassland","Mesic Highveld Grassland Bioregion",939.1528,395.4384,366.9924,354.0772,352.8092,352.0416,327.63,587.1112,0.10974351504558,83.7576,0.3952,24.1864,27.5804,4.22,446.9716,1.86884999999999,0.508899999999997,0.383799999999979,1.18525,1.47718571428571,1.42097333333333,1.35615,3154.00025241943,36,24,37,83,63,17,0.3,9,0,3,3,0,48,"Stable","EN","VU","LC","VU","LC","LC","VU","VU","A3"
"261",261,95351,"Gm23","Northern Escarpment Quartzite Sourveld","Grassland","Mesic Highveld Grassland Bioregion",1373.9488,794.8896,774.372,762.4564,760.81,759.848,740.14,614.1008,0.044083606075611,97.9184,0.1488,13.7084,8.3244,0.5424,493.4584,1.8155,0.652100000000019,0.480999999999995,0.854900000000001,1.15832857142857,1.13598666666667,1.09505,12581.5477696268,60,48,55,93,45,7,0.1,7,0,1,1,0,36,"Stable","EN","VU","LC","LC","LC","LC","LC","",""
"262",262,684,"Gm24","Northern Escarpment Afromontane Fynbos","Grassland","Mesic Highveld Grassland Bioregion",9.9996,9.4084,9.3988,9.3464,9.3452,9.342,9.3,0.6576,0.00705752306449554,0.4552,0,0.0252,0,0,0.1772,0.00709999999999988,0.00109999999999966,0.00159999999999982,0.00040000000000003,0.00221428571428576,0.00210666666666667,0.00207499999999999,5258.95590888843,16,4,93,99,7,1,0,5,0,0,0,0,2,"Stable","EN","EN","LC","LC","LC","LC","LC","",""
"263",263,29939,"Gm25","Woodbush Granite Grassland","Grassland","Mesic Highveld Grassland Bioregion",430.6272,130.108,117.3908,107.1652,104.7736,103.6888,88.83,326.9384,0.203055922771851,29.0228,4.7396,4.0268,25.2704,0,263.8788,1.71275,0.8691,0.542400000000001,0.529883333333334,0.819385714285714,0.84448,0.8256,884.877419543213,13,12,24,68,76,32,0.6,7,1,1,6,0,61,"Decline","CR","EN","VU","EN","CR","EN","CR","CR","B1i"
"264",264,18092,"Gm26","Wolkberg Dolomite Grassland","Grassland","Mesic Highveld Grassland Bioregion",260.5692,245.3592,244.3824,242.6564,242.4176,242.2084,240.44,18.3608,0.0128415808333251,4.344,0.0028,0.0924,0.7488,0.0004,13.1724,0.271749999999997,0.111999999999995,0.104599999999991,0.0406999999999999,0.0965285714285713,0.0980533333333331,0.0984624999999992,1116.77267282788,16,13,93,98,7,2,0,2,0,0,0,0,5,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"265",265,18646,"Gm27","Strydpoort Summit Sourveld","Grassland","Mesic Highveld Grassland Bioregion",268.058,262.4332,262.1444,261.5728,261.2532,261.1312,260.4,6.9268,0.00496126252318693,5.4848,0.0048,0.1716,0.6656,0.0664,0.5336,0.126650000000005,0.110399999999998,0.061000000000007,0.0120333333333325,0.0307285714285724,0.0393333333333336,0.0406875000000007,1993.07171449225,20,20,97,99,3,1,0,2,0,0,0,0,0,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"266",266,6513,"Gm28","Soutpansberg Summit Sourveld","Grassland","Mesic Highveld Grassland Bioregion",93.9012,91.9924,91.884,91.6444,91.5896,91.5736,91.34,2.3276,0.00455254999326036,0.7312,0,0.0028,0.1856,0,1.408,0.0388000000000002,0.0177000000000014,0.00800000000000267,0.0045166666666668,0.0124285714285714,0.0134266666666666,0.0130875000000001,808.062456305786,12,10,98,99,2,1,0,1,0,0,0,0,1,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"267",267,36306,"Gm29","Waterberg-Magaliesberg Summit Sourveld","Grassland","Mesic Highveld Grassland Bioregion",523.2744,506.7496,505.6428,504.5532,502.8788,502.7752,500.54,20.4992,0.00784292676304037,10.4324,0.206,0.258,8.89,0.004,0.7088,0.358450000000005,0.444500000000005,0.0518000000000143,0.0461166666666652,0.0784428571428565,0.129026666666666,0.1242,20180.1173760525,53,40,96,99,4,1,0,2,0,0,2,0,0,"Stable","VU","VU","LC","LC","LC","LC","LC","",""
"268",268,1046066,"Gm3","Eastern Free State Clay Grassland","Grassland","Mesic Highveld Grassland Bioregion",15063.914,6938.5048,6282.7452,6078.134,6031.6256,6008.346,5485.13,9055.568,0.134057527783219,1192.6684,86.7468,179.2208,7469.824,2.45,124.658,34.2999000000001,17.4470000000001,11.6398000000004,27.3233166666666,30.7275285714286,30.2293066666666,29.0674625,30476.2090707719,257,238,40,79,60,21,0.4,8,1,1,50,0,1,"Decline","VU","LC","LC","VU","VU","LC","VU","VU","A3 &  B1i"
